variable,91_1,91_2,95,99,103,106,110,years_present,count
b7_2o,N,N,N,N,N,N,Y,110,1
b7o,N,N,N,N,N,N,Y,110,1
b8,N,N,N,N,N,N,Y,110,1
b9,N,N,N,N,N,N,Y,110,1
b9o,N,N,N,N,N,N,Y,110,1
c10,N,N,Y,N,N,N,N,95,1
c1o,N,N,N,N,N,N,Y,110,1
b2,N,N,N,N,N,N,Y,110,1
b1,N,N,N,N,N,N,Y,110,1
a5_4,N,N,N,N,N,N,Y,110,1
a2_1_5,N,N,N,N,N,N,Y,110,1
a2_1_1,N,N,N,N,N,N,Y,110,1
a2_1_10,N,N,N,N,N,N,Y,110,1
a2_1_11,N,N,N,N,N,N,Y,110,1
a2_1_12,N,N,N,N,N,N,Y,110,1
a2_1_2,N,N,N,N,N,N,Y,110,1
a2_1_3,N,N,N,N,N,N,Y,110,1
a2_1_4,N,N,N,N,N,N,Y,110,1
a2_1_6,N,N,N,N,N,N,Y,110,1
a5_3,N,N,N,N,N,N,Y,110,1
a2_1_7,N,N,N,N,N,N,Y,110,1
a2_1_8,N,N,N,N,N,N,Y,110,1
a2_1_9,N,N,N,N,N,N,Y,110,1
a3,N,N,N,N,N,N,Y,110,1
a4,N,N,N,N,N,N,Y,110,1
a5_1,N,N,N,N,N,N,Y,110,1
a5_2,N,N,N,N,N,N,Y,110,1
c2o,N,N,N,N,N,N,Y,110,1
c51_1,N,N,Y,N,N,N,N,95,1
d2_2,N,N,N,N,N,N,Y,110,1
c51_2,N,N,Y,N,N,N,N,95,1
c74_7,N,N,Y,N,N,N,N,95,1
c74_8,N,N,Y,N,N,N,N,95,1
c8,N,N,Y,N,N,N,N,95,1
c9,N,N,Y,N,N,N,N,95,1
county1,N,N,N,N,N,N,Y,110,1
countya,N,N,N,Y,N,N,N,99,1
d1,N,N,N,N,N,N,Y,110,1
d1_1_1,N,N,N,N,N,N,Y,110,1
d1_1_2,N,N,N,N,N,N,Y,110,1
d1_1o,N,N,N,N,N,N,Y,110,1
d1_2,N,N,N,N,N,N,Y,110,1
d1_2o,N,N,N,N,N,N,Y,110,1
d1_3,N,N,N,N,N,N,Y,110,1
d1_3o,N,N,N,N,N,N,Y,110,1
d2,N,N,N,N,N,N,Y,110,1
d2_1_1,N,N,N,N,N,N,Y,110,1
d2_1_2,N,N,N,N,N,N,Y,110,1
c74_6,N,N,Y,N,N,N,N,95,1
c74_5,N,N,Y,N,N,N,N,95,1
c74_4,N,N,Y,N,N,N,N,95,1
c6_2o,N,N,N,N,N,N,Y,110,1
c51_3,N,N,Y,N,N,N,N,95,1
c51_4,N,N,Y,N,N,N,N,95,1
c51_5,N,N,Y,N,N,N,N,95,1
c6_1_1,N,N,N,N,N,N,Y,110,1
c6_1_2,N,N,N,N,N,N,Y,110,1
c6_1o,N,N,N,N,N,N,Y,110,1
c6_2,N,N,N,N,N,N,Y,110,1
c6_3,N,N,N,N,N,N,Y,110,1
c74_3,N,N,Y,N,N,N,N,95,1
c6_3o,N,N,N,N,N,N,Y,110,1
c7,N,N,Y,N,N,N,N,95,1
c71,N,N,Y,N,N,N,N,95,1
c72,N,N,Y,N,N,N,N,95,1
c73,N,N,Y,N,N,N,N,95,1
c74_1,N,N,Y,N,N,N,N,95,1
c74_2,N,N,Y,N,N,N,N,95,1
g6o,N,N,N,N,N,N,Y,110,1
g7_1,N,N,N,N,Y,N,N,103,1
g7_1o,N,N,N,N,Y,N,N,103,1
j4_o,N,N,N,N,N,Y,N,106,1
i4_3o,N,N,N,N,N,Y,N,106,1
i4o,N,N,N,N,Y,N,N,103,1
i5o,N,N,N,N,Y,N,N,103,1
i6,N,N,N,N,Y,N,N,103,1
i6o,N,N,N,N,Y,N,N,103,1
i7o,N,N,N,N,Y,N,N,103,1
i8,N,N,N,N,Y,N,N,103,1
i8o,N,N,N,N,Y,N,N,103,1
