ID,SOURCE_ID,SURVEY_TAG,DATA_Y
110::1447950,1447950,110,2021
110::1448041,1448041,110,2021
110::1448141,1448141,110,2021
110::1448796,1448796,110,2021
110::1449299,1449299,110,2021
110::1449372,1449372,110,2021
110::1449518,1449518,110,2021
110::1449528,1449528,110,2021
110::1449617,1449617,110,2021
110::1449711,1449711,110,2021
110::1449731,1449731,110,2021
110::1450254,1450254,110,2021
110::1450274,1450274,110,2021
110::1450729,1450729,110,2021
110::1451234,1451234,110,2021
110::1451726,1451726,110,2021
110::1451845,1451845,110,2021
110::1451907,1451907,110,2021
110::1452020,1452020,110,2021
110::1455685,1455685,110,2021
110::1456155,1456155,110,2021
110::1456194,1456194,110,2021
110::1456421,1456421,110,2021
110::1456817,1456817,110,2021
110::1456837,1456837,110,2021
110::1457634,1457634,110,2021
110::1458412,1458412,110,2021
110::1459152,1459152,110,2021
110::1459281,1459281,110,2021
110::1459595,1459595,110,2021
110::1461108,1461108,110,2021
110::1461625,1461625,110,2021
110::1461638,1461638,110,2021
110::1462230,1462230,110,2021
110::1462231,1462231,110,2021
110::1462239,1462239,110,2021
110::1462551,1462551,110,2021
110::1462586,1462586,110,2021
110::1462680,1462680,110,2021
110::1462872,1462872,110,2021
110::1462905,1462905,110,2021
110::1462948,1462948,110,2021
110::1463092,1463092,110,2021
110::1463109,1463109,110,2021
110::1463220,1463220,110,2021
110::1463228,1463228,110,2021
110::1463344,1463344,110,2021
110::1463370,1463370,110,2021
110::1463375,1463375,110,2021
110::1463404,1463404,110,2021
110::1463484,1463484,110,2021
110::1463505,1463505,110,2021
110::1463535,1463535,110,2021
110::1463664,1463664,110,2021
110::1463667,1463667,110,2021
110::1464025,1464025,110,2021
110::1464577,1464577,110,2021
110::1464890,1464890,110,2021
110::1464916,1464916,110,2021
110::1464941,1464941,110,2021
110::1464980,1464980,110,2021
110::1465521,1465521,110,2021
110::1465526,1465526,110,2021
110::1467075,1467075,110,2021
110::1467604,1467604,110,2021
110::1467742,1467742,110,2021
110::1467794,1467794,110,2021
110::1468557,1468557,110,2021
110::2409545,2409545,110,2021
110::2409969,2409969,110,2021
110::2410147,2410147,110,2021
110::2410163,2410163,110,2021
110::2410218,2410218,110,2021
110::2411102,2411102,110,2021
