sample_definition,Survey Year,City,County,Sample N
full_sample,2006,高雄縣,林園鄉,2
full_sample,2006,高雄縣,桃源鄉,47
full_sample,2006,高雄縣,梓官鄉,11
full_sample,2006,高雄縣,永安鄉,1
full_sample,2006,高雄縣,燕巢鄉,1
full_sample,2006,高雄縣,甲仙鄉,3
full_sample,2006,高雄縣,茂林鄉,47
full_sample,2006,高雄縣,鳳山市,40
full_sample,2010,南投縣,仁愛鄉,107
full_sample,2010,南投縣,信義鄉,63
full_sample,2010,南投縣,南投市,4
full_sample,2010,南投縣,埔里鎮,41
full_sample,2010,南投縣,草屯鎮,14
full_sample,2010,南投縣,魚池鄉,11
full_sample,2010,嘉義市,東區,37
full_sample,2010,嘉義市,西區,20
full_sample,2010,嘉義縣,中埔鄉,10
full_sample,2010,嘉義縣,大林鎮,5
full_sample,2010,嘉義縣,民雄鄉,3
full_sample,2010,嘉義縣,阿里山鄉,34
full_sample,2010,基隆市,七堵區,18
full_sample,2010,基隆市,中山區,5
full_sample,2010,基隆市,中正區,48
full_sample,2010,基隆市,仁愛區,2
full_sample,2010,基隆市,信義區,4
full_sample,2010,基隆市,安樂區,10
full_sample,2010,基隆市,暖暖區,3
full_sample,2010,宜蘭縣,五結鄉,26
full_sample,2010,宜蘭縣,南澳鄉,43
full_sample,2010,宜蘭縣,大同鄉,34
full_sample,2010,宜蘭縣,宜蘭市,8
full_sample,2010,宜蘭縣,羅東鎮,5
full_sample,2010,宜蘭縣,蘇澳鎮,15
full_sample,2010,屏東縣,三地門鄉,58
full_sample,2010,屏東縣,來義鄉,46
full_sample,2010,屏東縣,內埔鄉,24
full_sample,2010,屏東縣,屏東市,63
full_sample,2010,屏東縣,恆春鎮,8
full_sample,2010,屏東縣,春日鄉,35
full_sample,2010,屏東縣,枋寮鄉,20
full_sample,2010,屏東縣,泰武鄉,33
full_sample,2010,屏東縣,滿州鄉,39
full_sample,2010,屏東縣,牡丹鄉,46
full_sample,2010,屏東縣,獅子鄉,31
full_sample,2010,屏東縣,瑪家鄉,41
full_sample,2010,屏東縣,萬巒鄉,9
full_sample,2010,屏東縣,長治鄉,13
full_sample,2010,屏東縣,霧臺鄉,24
full_sample,2010,彰化縣,和美鎮,26
full_sample,2010,彰化縣,彰化市,17
full_sample,2010,彰化縣,芳苑鄉,3
full_sample,2010,彰化縣,鹿港鎮,13
full_sample,2010,新竹市,北區,17
full_sample,2010,新竹市,東區,24
full_sample,2010,新竹市,香山區,9
full_sample,2010,新竹縣,五峰鄉,39
full_sample,2010,新竹縣,尖石鄉,53
full_sample,2010,新竹縣,湖口鄉,5
full_sample,2010,新竹縣,竹北市,50
full_sample,2010,新竹縣,竹東鎮,17
full_sample,2010,新竹縣,關西鎮,42
full_sample,2010,桃園縣,中壢市,95
full_sample,2010,桃園縣,八德市,54
full_sample,2010,桃園縣,大園鄉,10
full_sample,2010,桃園縣,大溪鎮,62
full_sample,2010,桃園縣,平鎮市,67
full_sample,2010,桃園縣,復興鄉,64
full_sample,2010,桃園縣,桃園市,82
full_sample,2010,桃園縣,楊梅鎮,12
full_sample,2010,桃園縣,蘆竹鄉,44
full_sample,2010,桃園縣,龜山鄉,71
full_sample,2010,臺中市,中區,1
full_sample,2010,臺中市,北區,16
full_sample,2010,臺中市,北屯區,22
full_sample,2010,臺中市,南區,10
full_sample,2010,臺中市,南屯區,6
full_sample,2010,臺中市,東區,13
full_sample,2010,臺中市,西區,1
full_sample,2010,臺中市,西屯區,11
full_sample,2010,臺中縣,和平鄉,41
full_sample,2010,臺中縣,大肚鄉,12
full_sample,2010,臺中縣,大里市,17
full_sample,2010,臺中縣,大雅鄉,13
full_sample,2010,臺中縣,東勢鎮,24
full_sample,2010,臺中縣,潭子鄉,52
full_sample,2010,臺中縣,烏日鄉,6
full_sample,2010,臺中縣,神岡鄉,20
full_sample,2010,臺中縣,豐原市,13
full_sample,2010,臺北市,中山區,15
full_sample,2010,臺北市,中正區,7
full_sample,2010,臺北市,信義區,9
full_sample,2010,臺北市,內湖區,21
full_sample,2010,臺北市,北投區,17
full_sample,2010,臺北市,南港區,18
full_sample,2010,臺北市,士林區,12
full_sample,2010,臺北市,大同區,10
full_sample,2010,臺北市,大安區,9
full_sample,2010,臺北市,文山區,18
full_sample,2010,臺北市,松山區,10
full_sample,2010,臺北市,萬華區,14
full_sample,2010,臺北縣,三峽鎮,52
full_sample,2010,臺北縣,三重市,11
full_sample,2010,臺北縣,中和市,8
full_sample,2010,臺北縣,五股鄉,2
full_sample,2010,臺北縣,土城市,80
full_sample,2010,臺北縣,新店市,39
full_sample,2010,臺北縣,新莊市,19
full_sample,2010,臺北縣,板橋市,17
full_sample,2010,臺北縣,林口鄉,8
full_sample,2010,臺北縣,樹林市,116
full_sample,2010,臺北縣,永和市,8
full_sample,2010,臺北縣,汐止市,40
full_sample,2010,臺北縣,泰山鄉,18
full_sample,2010,臺北縣,烏來鄉,21
full_sample,2010,臺北縣,蘆洲市,52
full_sample,2010,臺北縣,鶯歌鎮,9
full_sample,2010,臺南市,中西區,1
full_sample,2010,臺南市,北區,11
full_sample,2010,臺南市,南區,5
full_sample,2010,臺南市,安南區,12
full_sample,2010,臺南市,安平區,2
full_sample,2010,臺南市,東區,26
full_sample,2010,臺南縣,仁德鄉,14
full_sample,2010,臺南縣,新營市,5
full_sample,2010,臺南縣,歸仁鄉,25
full_sample,2010,臺南縣,永康市,8
full_sample,2010,臺東縣,卑南鄉,61
full_sample,2010,臺東縣,大武鄉,44
full_sample,2010,臺東縣,太麻里鄉,52
full_sample,2010,臺東縣,延平鄉,20
full_sample,2010,臺東縣,成功鎮,85
full_sample,2010,臺東縣,東河鄉,46
full_sample,2010,臺東縣,池上鄉,21
full_sample,2010,臺東縣,海端鄉,30
full_sample,2010,臺東縣,臺東市,189
full_sample,2010,臺東縣,蘭嶼鄉,24
full_sample,2010,臺東縣,達仁鄉,34
full_sample,2010,臺東縣,金峰鄉,28
full_sample,2010,臺東縣,長濱鄉,55
full_sample,2010,臺東縣,關山鎮,21
full_sample,2010,臺東縣,鹿野鄉,22
full_sample,2010,花蓮縣,光復鄉,64
full_sample,2010,花蓮縣,卓溪鄉,43
full_sample,2010,花蓮縣,吉安鄉,152
full_sample,2010,花蓮縣,壽豐鄉,54
full_sample,2010,花蓮縣,富里鄉,20
full_sample,2010,花蓮縣,新城鄉,66
full_sample,2010,花蓮縣,玉里鎮,67
full_sample,2010,花蓮縣,瑞穗鄉,38
full_sample,2010,花蓮縣,秀林鄉,101
full_sample,2010,花蓮縣,花蓮市,115
full_sample,2010,花蓮縣,萬榮鄉,62
full_sample,2010,花蓮縣,豐濱鄉,41
full_sample,2010,花蓮縣,鳳林鎮,22
full_sample,2010,苗栗縣,公館鄉,16
full_sample,2010,苗栗縣,南庄鄉,32
full_sample,2010,苗栗縣,泰安鄉,34
full_sample,2010,苗栗縣,獅潭鄉,14
full_sample,2010,苗栗縣,竹南鎮,1
full_sample,2010,苗栗縣,頭份鎮,22
full_sample,2010,雲林縣,斗六市,10
full_sample,2010,雲林縣,莿桐鄉,12
